,sport,school,coach
98,Basketball,Horseshoe Bend,Thomas Boyd
99,Basketball,Houston County,Brandon Brown
100,Basketball,Reeltown,Jonathan Gardner
101,Basketball,Southern Choctaw,Jeremy Noland
102,Basketball,Samson,"Bill Porter, Jr."
103,Basketball,Woodland,robert jones
104,Basketball,Washington County,Brian Henry
105,Basketball,Gaston,Kolby Brannon
106,Basketball,New Brockton,Tony Carter
107,Basketball,Cedar Bluff,Joe Carpenter
108,Basketball,Piedmont,tommy lewis
109,Basketball,Thomasville,Buck williams
110,Basketball,Plainview,robi coker
111,Basketball,Winfield,Mike Jenkins
112,Basketball,New Hope,Todd Jeffers
113,Basketball,Oakman,Derek Roberts
114,Basketball,Dadeville,Jessie Foster
115,Basketball,Mobile Christian,Alan Brown
116,Basketball,St. Michael Catholic,Daniel Nolan
117,Basketball,Hanceville,Daniel Wakefield
118,Basketball,Slocomb,Brett Singletary
119,Basketball,Flomaton,Jarrod Green
120,Basketball,Saks,Jonathon Miller
121,Basketball,Opp,Willie Edwards
122,Basketball,Hale County,Antwan Butler
123,Basketball,Southside,Cedric Brown
124,Basketball,Providence Christian,Chris Fain
125,Basketball,Montgomery Academy,Anthony McCall
126,Basketball,Geneva,Michael Crews
127,Basketball,Midfield,Courtney Jones
128,Basketball,Locust Fork,Barbara Roy
129,Basketball,Bullock County,douglas moore
130,Basketball,Gordo,Thomas Reese
131,Basketball,Randolph County,Matthew Smith
132,Basketball,St. James,Nigel Card
133,Basketball,Carbon Hill,Garrett Kirkland
134,Basketball,Pleasant Valley,ryan mccoy
135,Basketball,Prattville Christian Academy,Jason Roberson
136,Basketball,Bayside Academy,Ryan Campbell
137,Basketball,Holt,Steven Watkins
138,Basketball,Houston Academy,scott whitaker
139,Basketball,Greene County,Rodney Wesley
140,Basketball,Wicksburg,todd reynolds
141,Basketball,Fultondale,phillip lawson
142,Basketball,Lexington,Jake Herrera
143,Basketball,Holly Pond,Mitch Morris
144,Basketball,Phil Campbell,Shane Clay
145,Basketball,Comer,Michael Hale
146,Basketball,Weaver,wesley ginn
147,Basketball,Straughn,Trevor Driver
148,Basketball,Brindlee Mountain,Brian Pool
149,Basketball,Susan Moore,Heath Lauderdale
150,Basketball,Clements,Mike Holt
151,Basketball,Lamar County,Ben Johnson
152,Basketball,T.R. Miller,Terrence Walker
153,Basketball,Beulah,Doug Warren
154,Basketball,East Lawrence,Marrieo Davis
155,Basketball,Holy Family Catholic,Darryl Hagler
156,Basketball,Wellborn,Beau Winn
157,Basketball,Lumen Christi,Adam Trombley
158,Basketball,Blanka,Mickia Walcott
159,Basketball,Ninilchik,josh demlow
160,Basketball,Thorne Bay,mark gunkel
161,Basketball,Nikolaevsk,Steve Klaich
162,Basketball,Hydaburg,Bradley Stonecypher
163,Basketball,Birchwood Christian,Micah Ellington
164,Basketball,Alak,Frank Pickett
165,Basketball,Andreafski,Tye Burgess
166,Basketball,Minto,Bryon Charlie
167,Basketball,Emmonak,Anna Lee
168,Basketball,Sand Point,Ralph Lindquist
169,Basketball,Cook Inlet Academy,Brian Moore
170,Basketball,Skagway,Ross Barrett
171,Basketball,Akiuk Memorial,Pete Schneidler Esai Twitchell Jr
172,Basketball,King Cove,Randel Newman
173,Basketball,Tukurngailngug,Ben Attinger
174,Basketball,Nuiqsut Trapper,James Taalak
175,Basketball,Andrews,Cody Thomason
176,Basketball,Yakutat,"Bert Adams, Jr."
177,Basketball,Noorvik,Darren Zibell
178,Basketball,English,Mark Janes
179,Basketball,Kiana,John Nagy
180,Basketball,Marshall,Maurice Turet
181,Basketball,Miller Memorial,william Coach
182,Basketball,Cordova,Jason Boerger
183,Basketball,Scammon Bay,Harley Sundown
184,Basketball,Dillingham,Deon Lopez
185,Basketball,Metlakatla,Tony Scott
186,Basketball,Susitna Valley,Mike Matthews
187,Basketball,Hooper Bay,Albert Green
188,Basketball,Glennallen,James Fields
189,Basketball,Tok,Ryan Becker
190,Basketball,Kokrine Charter,Noah Harris
191,Basketball,Degnan,Isaiah Towarak
192,Basketball,Wrangell,Ray Stokes
193,Basketball,Nenana,Collin stone
194,Basketball,Craig,Tina Steffen
195,Basketball,Eagle River Christian Academy,Stewart Allen
196,Basketball,Seward,Curtis Berry
197,Basketball,Grace Christian,Chuck Boerger
198,Basketball,Anchorage Christian,Zack Madren
199,Basketball,Barrow,Daniel Thomas
200,Basketball,Delta,Bruce Reiter
201,Basketball,Galena,Beth Buchanan
202,Basketball,Bethel,David Cronk
203,Basketball,Houston,David Portor
204,Basketball,Homer,Mark Casseri
205,Basketball,Nome-Beltz,Patrick Callahan
206,Basketball,Kenai Central,Jim Beeson
207,Basketball,Eielson,Joseph Ross
208,Basketball,Sitka,andrew lee
209,Basketball,Nikiski,Reid Kornstad
210,Basketball,Kotzebue,Odell garland
211,Basketball,Fort Thomas,Matthew Dona
212,Basketball,North Valley Christian Academy,Randy Walker
213,Basketball,Rock Point,Erick Johnson
214,Basketball,Baboquivari,Justin Delgado
215,Basketball,Duncan,Eldon Merrell
216,Basketball,Mohave Accelerated,Joey Leslie
217,Basketball,Joseph City,Eric Miller
218,Basketball,NFL Yet Academy,Albert Ramirez
219,Basketball,St. David,Nathan Richardson
220,Basketball,Mogollon,Ron Tenney
221,Basketball,Patagonia,Nate Porter
222,Basketball,Anthem Prep,James Sinner
223,Basketball,The Gregory School,Craig Everson
224,Basketball,Williams,Troy Mortensen
225,Basketball,El Capitan,Nathaniel Burnham
226,Basketball,Arizona School for the Deaf & Blind,Gerald Brown
227,Basketball,Tohono O'Odham,Elijah Castillo
228,Basketball,Valley Union,Jeff Baker
229,Basketball,Arete Prep,Mike Caviness
230,Basketball,Salome,Brendan Bozic
231,Basketball,Cibecue/Dischii Biko,Delmer Hooke
232,Basketball,North Phoenix Preparatory Academy,Frank Reach
233,Basketball,San Pasqual Valley,willis hawkins
234,Basketball,St. Michael,Joshua Thompson
235,Basketball,Grand Canyon,Catheryn Redmon
236,Basketball,Superior,Ryan Palmer
237,Basketball,Basis,Chris Bayer
238,Basketball,Red Mesa,Hank Charleston
239,Basketball,Immaculate Heart,Mark Hamby
240,Basketball,Phoenix Day School for the Deaf,Lynn Foley
241,Basketball,Bagdad,George Diehl
242,Basketball,Mayer,Sam Stoltenberg
243,Basketball,Ray,Dustin Bingham
244,Basketball,Fredonia,Gordon Anderson
245,Basketball,Academy of Tucson,Mark Lugo-Gomez
246,Basketball,Green Fields School,Rick Elias
247,Basketball,Trivium Prep,Ryan Nelson
248,Basketball,Alchesay,Kyle Goklish
249,Basketball,St. Augustine Catholic,Michael Reyna
250,Basketball,Camp Verde,Daniel Wall
251,Basketball,Scottsdale Christian Academy,Bob Fredericks
252,Basketball,St. Johns,Rusty Oakes
253,Basketball,Pima,Cliff Thompson
254,Basketball,Miami,Ken Vargas
255,Basketball,Glendale Prep Academy,Steve Silvernail
256,Basketball,San Manuel,Damon Lovato
257,Basketball,Thatcher,Rob Matindell
258,Basketball,Chandler Prep,Cheyan Wilson
259,Basketball,Arizona Lutheran Academy,Doug Meyer
260,Basketball,Tonopah Valley,Benjamin Murphy
261,Basketball,Valley,patrick boone
262,Basketball,Phoenix Country Day,Shane Lewis
263,Basketball,San Carlos,Terry Antonio
264,Basketball,Rancho Solano Prep,Aaron Trigg
265,Basketball,Leading Edge Academy - GEC,Joe Leon
266,Basketball,Northland Prep Academy,TJ Harris
267,Basketball,Desert Christian,Iram Alday
268,Basketball,Cicero Prep Academy,Billy Hunt
269,Basketball,Phoenix Christian,Mark Carlino
270,Basketball,Parker,Rolland Hansen
271,Basketball,Bisbee,Mike HernandeZ
272,Basketball,Veritas Prep,Brooks Dockter
273,Basketball,Gilbert Classical Academy,Darren Hatcher
274,Basketball,Benson,Chris Taylor
275,Basketball,Hopi,Rick Baker
276,Basketball,Morenci,Patrick Hepper
277,Basketball,Scottsdale Preparatory Academy,Mark Owens
278,Basketball,Lincoln Prep,Paul Schubring
279,Basketball,Globe,James Simmons
280,Basketball,Red Rock,George Gleason
281,Basketball,Round Valley,Travis Hinton
282,Basketball,Antelope,Doug Ragels
283,Basketball,Pinon,Alonzo Bert
284,Basketball,Santa Rita,Cedric Martin
285,Basketball,San Miguel,Ricky Dominguez
286,Basketball,Valley Lutheran,Josh Meckes
287,Basketball,St. John Paul II Catholic,John Salt
288,Basketball,Willcox,Corey Downs
289,Basketball,Many Farms,Gary Begay
290,Basketball,Tombstone,David Thursby
291,Basketball,North Pointe Prep,Rose Vargas
292,Basketball,Tempe Prep,Jonathan Lambros
293,Basketball,Santa Cruz Valley,Ronald Platerio
294,Basketball,Heritage Academy,Kurt Gipson
295,Basketball,Page,Justin Smith
296,Basketball,Sabino,Marty Roth
297,Basketball,Valley Christian,Greg Haagsma
298,Basketball,Paradise Honors,Zach Hettel
299,Basketball,American Leadership Academy,Ryan McCurdy
300,Basketball,San Tan Foothills,Joe Galish
301,Basketball,Winslow,Scott Corum
302,Basketball,Northwest Christian,Jason Cook
303,Basketball,Coronado,Mitch Armour
304,Basketball,Gilbert Christian,Kurt Keener
305,Basketball,Holbrook,Delmar Johnson
306,Basketball,Chinle,Raul Mendoza
307,Basketball,Chino Valley,Ravi Shetty
308,Basketball,Pusch Ridge Christian Academy,Erik Michaud
309,Basketball,Snowflake,Andy Wood
310,Basketball,Fountain Hills,Jeffrey Bonner
311,Basketball,Florence,David Silvas
312,Basketball,Blue Ridge,Scott Catt
313,Basketball,Kingman Academy,William McDavid
314,Basketball,River Valley,jonathan clark
315,Basketball,Tuba City,Roger Tsingine
316,Basketball,Show Low,Matt Thacker
317,Basketball,Sahuarita,Lee Smith
318,Basketball,Odyssey Institute,Lynn Ramage
319,Basketball,Monument Valley,Richard Beverly
320,Basketball,Benjamin Franklin,Jeff Thomas
321,Basketball,Yuma Catholic,Bret Felsenthal
322,Basketball,Bourgade Catholic,Shelton Simmons
323,Basketball,Window Rock,Tom Bizardi
324,Basketball,Tanque Verde,Darren Gargus
325,Basketball,Arizona College Prep,Clint Treadway
326,Basketball,American Leadership Academy - Gilbert North,Mark Armstrong
327,Basketball,Coolidge,Bryan Pyles
328,Basketball,American Leadership Academy - Ironwood,Joe Lundstrom
329,Basketball,Safford,Sheri Camarena
330,Basketball,Kingman,Nick Juby
331,Basketball,Ganado,Julian Chee
332,Basketball,Catalina,Mark Gaxiola
333,Basketball,Horizon Honors,Chris Henderson
334,Basketball,Payson,Joe Sanchez
